headword,pos,freq_rank
the,art.,1
be,v.,2
and,conj.,3
of,prep.,4
a,art.,5
in,prep./adv./adj./n.,6
to,prep./adv.,7
have,v./aux.,8
it,pron.,10
that,adj./conj./pron./adv.,12
for,prep./conj.,13
you,pron.,14
he,pron./n.,15
with,prep.,16
on,prep./adv./adj.,17
do,v.,18
say,v./n.,19
this,pron./adj./adv.,20
they,pron.,21
at,prep.,22
but,prep./conj./adv.,23
we,pron.,24
his,pron.,25
from,prep.,26
not,adv.,28
by,prep./adv.,30
she,pron.,31
or,conj.,32
as,adv./prep./conj.,33
what,pron./int./adj./adv.,34
go,v./n.,35
their,pron.,36
can,v./n./aux.,37
who,pron.,38
get,v./n.,39
if,conj./n.,40
would,aux.,41
her,pron.,42
all,adj./adv./pron./n.,43
my,pron.,44
make,v./n.,45
about,prep./adv.,46
know,v.,47
will,n./v./aux.,48
up,adj./adv./prep.,50
one,n./pron./num./adj.,51
time,n./v./adj.,52
there,adv.,53
year,n.,54
so,adv./conj./pron.,55
think,v./n./adj.,56
when,conj./adv./pron./n.,57
which,pron.,58
them,pron.,59
some,pron./adv./adj.,60
me,pron.,61
people,n./v.,62
take,v./n.,63
out,adj./adv./prep.,64
into,prep.,65
just,adj./adv.,66
see,v./n.,67
him,pron.,68
your,pron.,69
come,v./int.,70
could,aux.,71
now,adv./n./adj./conj.,72
than,conj./prep.,73
like,adj./v./n./prep./adv.,74
other,adj./pron.,75
how,adv./n.,76
then,adv./conj./n.,77
its,pron.,78
our,pron.,79
two,num.,80
more,n./adj./adv.,81
these,pron.,82
want,n./v.,83
way,n./adv.,84
look,n./v.,85
first,adv./adj./num./n.,86
also,adv.,87
new,adj.,88
because,conj.,89
day,n.,90
use,n./v.,92
no,n./adj./adv.,93
man,n./v.,94
find,v./n.,95
here,adv./n.,96
thing,n.,97
give,n./v.,98
many,n./adj./pron.,99
well,n./v./adj./adv./int.,100
only,adj./adv./conj.,101
those,pron.,102
tell,v.,103
very,adj./adv.,105
even,adj./v./adv./n.,107
back,adj./v./adv./n.,108
any,adj./pron.,109
good,n./adj.,110
woman,n./adj./v.,111
through,adv./prep./adj.,112
us,pron.,113
life,n.,114
child,n.,115
work,n./v.,117
down,adj./adv./prep./n.,118
may,n./aux.,119
after,prep./conj./adv.,120
should,aux.,121
call,n./v.,122
world,n.,123
over,adv./prep./adj./v.,124
school,n./v.,125
still,n./v./adj./adv./conj.,126
try,n./v.,127
ask,v.,131
need,n./v./aux.,132
too,adv.,133
feel,v./n.,134
three,num.,135
state,n./adj./v.,137
never,adv.,138
become,v.,139
between,prep.,140
high,n./adj./adv.,141
something,pron.,142
really,adv.,143
most,n./adj./adv.,144
another,adj./pron.,145
much,n./adj./adv.,146
family,n./adj.,147
own,n./adj./v.,148
leave,n./v.,150
put,v./n./adj.,151
old,n./adj.,152
while,n./conj./v.,153
mean,adj./v./n.,154
keep,n./v.,156
student,n.,157
why,adv./n.,158
let,v./n.,159
great,adj./adv./n.,160
same,adj./pron./adv.,161
big,adj./adv.,162
group,n./v.,163
begin,v.,164
seem,v.,165
country,n./adj.,166
help,n./v.,167
