headword,pos,freq_rank
want,n./v.,83
even,adj./v./adv./n.,107
down,adj./adv./prep./n.,118
school,n./v.,125
mean,adj./v./n.,154
group,n./v.,163
hold,n./v.,213
lot,n./v.,238
issue,n./v.,248
meet,n./adj./v.,288
low,n./adj./adv./v.,360
guy,n./v.,364
moment,n.,369
die,v./n.,403
control,n./v.,432
base,n./v./adj.,536
table,n./v.,539
court,n./v.,541
produce,n./v.,542
available,adj.,622
choice,n./adj.,630
husband,n./v.,637
campaign,n./v.,640
defense,n.,657
sport,n./adj./v.,666
subject,n./adj./adv./v.,670
movement,n.,707
significant,adj.,719
response,n.,725
shoot,n./v.,732
stock,n./adj./v.,740
approach,n./v.,750
ready,n./adj./adv./v.,758
list,n./v.,761
individual,n./adj.,762
indicate,v.,785
forward,adj./v./adv.,815
blue,n./adj./v.,842
check,n./v.,854
claim,n./v.,874
remove,v./n.,876
green,n./adj.,890
nice,adj.,897
avoid,v.,908
impact,n./v.,919
contain,v.,931
particular,n./adj.,948
bit,n./v.,952
candidate,n.,957
conference,n.,965
shoulder,n./v.,986
institution,n.,987
bar,n./v.,991
reflect,v.,1004
generation,n.,1026
address,n./v.,1028
beat,n./v./adj.,1036
tend,v.,1039
collection,n.,1045
civil,adj.,1050
budget,n./v./adj.,1054
safe,n./adj.,1058
threat,n.,1066
attorney,n.,1069
score,n./v.,1070
audience,n.,1074
relate,v.,1080
debate,n./v.,1082
assume,v.,1091
fast,adj./adv./n./v.,1096
access,n./v.,1113
release,n./v.,1120
credit,n./v.,1125
critical,adj.,1126
recall,n./v.,1129
original,adj./n.,1135
track,n./v.,1143
plane,n./adj./v.,1150
conduct,n./v.,1162
announce,v.,1163
press,n./v.,1178
conflict,n./v.,1179
feature,n./v.,1190
status,n.,1215
scale,n./v.,1223
handle,n./v.,1238
resident,n./adj.,1254
hide,n./v.,1255
potential,n./adj.,1260
district,n.,1266
contract,n./v.,1269
previous,adj.,1276
band,n./v.,1277
demand,n./v.,1287
vehicle,n.,1293
flight,n./v.,1295
settle,n./v.,1316
promote,v.,1328
principle,n.,1341
survive,v.,1342
associate,n./v.,1354
critic,n.,1355
aspect,n.,1357
demonstrate,v.,1379
religion,n.,1383
document,n./v.,1389
cross,n./adj./v.,1391
commit,v.,1394
perspective,n./adj.,1412
context,n.,1427
extend,v.,1445
category,n.,1461
academic,adj./n.,1465
contact,n./v.,1480
appropriate,adj.,1493
studio,n.,1515
application,n.,1519
lean,n./adj./v.,1520
abuse,n./v.,1540
assessment,n.,1552
expand,v.,1572
corporate,adj.,1579
planet,n.,1592
panel,n./v.,1607
weather,n./adj./v.,1614
supreme,n./adj.,1618
poll,n./v./adj.,1623
proposal,n.,1625
consequence,n.,1626
adopt,v.,1632
code,n./v.,1648
acknowledge,v.,1654
prime,n./adj./v.,1667
revenue,n.,1681
obvious,adj.,1689
generate,v.,1692
trend,n./v.,1697
muscle,n.,1713
capture,n./v.,1715
emergency,n.,1725
unique,adj.,1726
ethnic,adj.,1729
content,n./adj./v.,1732
appreciate,v.,1738
file,n./v.,1745
ensure,v.,1754
catholic,n./adj.,1757
component,n./adj.,1760
contrast,n./v.,1762
zone,n./v.,1763
pilot,n./v./adj.,1772
pursue,v.,1785
soil,n./v.,1791
criterion,n.,1799
investigate,v.,1802
eliminate,v.,1838
regime,n.,1848
confirm,v.,1851
appeal,n./v.,1852
smart,adj./n./v.,1856
